faq_id,question_date,atomic_id,question,answer,category
22911,2010-01-01,22911_A01,《中國圖書分類法》增訂版本的分類表可在何處檢獲？,本館已公布於【國家圖書館編目園地全球資訊網（http://catweb.ncl.edu.tw/）】上，分刊載於【中文編目規範標準／增訂中國圖書分類法】項下。,其他
22911,2010-01-01,22911_A02,《中國圖書分類法》修訂版本的分類表可在何處檢獲？,本館已公布於【國家圖書館編目園地全球資訊網（http://catweb.ncl.edu.tw/）】上，分刊載於【中文編目規範標準／中國圖書分類法新增類目及類號】項下。,其他
22912,2010-01-01,22912_A01,原為一種資料類型的文獻，後來改為另一種資料類型，已入藏同一種文獻是否需改變「館藏地」註記？,為管理上（主要是典藏及出納）方便起見，通常會採集中典藏方式，將同一題名但後改發行為另一種資料類型的文獻集中一處，此時自需改變「館藏地」註記，以反映實際情況。,其他
22912,2010-01-01,22912_A02,針對具有兩種類型的同一文獻，應採集中典藏方式，還是採分散典藏方式？,為求典藏及出納方便起見，建議可另建一筆新的書目記錄，註明該刊先前發行狀況，同時將原來之書目記錄刪除，唯將原書目中之館藏記錄及館藏註記移至新的書目記錄，以畢其功於一役。,編目法
22913,2010-01-01,22913_A01,《中國編目規則 第三版》是否可公布於「國家圖書館編目園地」網頁上線檢閱？,《中國編目規則 第三版》，係中華民國圖書館學會編印出版，發售本，定價為NT$300。因此，本館無法公布上網，以便線上檢閱。,其他
22913,2010-01-01,22913_A02,《中文主題詞表 2005年修訂版》是否可公布於「國家圖書館編目園地」網頁上線檢閱？,《中文主題詞表 2005年修訂版》，係國家圖書館編印出版，定價NT$500。本詞表已建有PDF檔，至於是否公布上網，目前尚在規劃中。,其他
22914,2010-01-01,22914_A01,圖書館在訂定契約書時，應如何訂定控管編目品質的條文？,針對本提問，擬提出建議條款如下，用供 臺端卓參。惟下述建議條款中如有涉及數據部分，概係『示例』敘述，並非『定量』敘述，請 貴館斟酌自身需求及條件然後訂定之，勿拘泥以下之數據，並認為不可加以調整。 1 訂定編目成品錯誤率認定標準（或文獻編目品質檢查標準）、抽查方法、罰則及改進辦法，作為編目品質檢查的依據。 2 編目成品錯誤之認定標的，主要以著錄項目（或機讀編目格式欄位）、書目資料及其他有關作業內容為主。範圍涉及記述編目、主題編目、權威控制、權威紀錄、機讀編目格式、書目整檔、目錄組織、資料加工、資料整併等作業及其所產生之書目與卡片、書標等。 3 編目成品之錯誤，主要包括建檔時字符鍵入錯誤（包括錯字、別字、脫字、衍字、字碼選錯等），編目作業著錄、標引的錯誤，以及與編目相關作業之錯誤而言。後二者錯誤之具體內容，包括記述編目錯誤（內容項目缺漏，欄位或分欄輸入錯誤，以及著者號、館藏區別號、年代部冊號、複本號錯誤等）、主題編目錯誤（分類號、標題或主題錯誤）、權威控制錯誤、權威紀錄錯誤、書目紀錄連結錯誤、書命紀錄整併錯誤、重複編目等。 4 編目成品之抽查，以單項作業項目為準，每月由機關就該項作業總筆數中抽查之，然後記錄其錯誤情形。 5 編目成品之錯誤率以書目紀錄之分欄為計量單位。凡同一筆書目紀錄中錯一分欄者，列計為一分，同一筆錯誤達五分者，則該筆即視為錯誤。 6 訂定成品錯誤率的抽查方式與錯誤率，例如錯誤率為百分之三，即設有一百筆書目紀錄當中，其錯誤率不得超過三筆。如經抽查綜合評分後，當月廠商該項作業之錯誤率達百分之三，即依當月該作業項目價款千分之十科罰之。 7 外包作業人員每人每月編目作業，其錯誤率亦不得超過該員當月作業總筆數的百分之三。如同一人超過百分之三，承包廠商須負再訓練之責，並以十個工作日為限，要求該員剋期改進。 8 同一作業人員錯誤率改進以兩次為限，若仍無法降低錯誤率至機關規定之比率（例如百分之三）者，則機關可提出更換適當人員之要求，承包廠商必須於十個工作日內遞補適當之其他編目人員。遞補人員之資格，必須符合契約書或招標規範之相關規定。 以上『條文6』，係針對外包廠商所為之科罰；『條文7』及『條文8』則係針對特定個人（即外包編目作業人員）促其改進作業之辦法，二者對象及處理方式並不相同，請特別注意之。,編目政策與管理
22915,2010-01-01,22915_A01,DVD-ROM國圖是否有統一的中譯名稱？,DVD-ROM一詞，通常譯為數位影音光碟（唯讀記憶體），本館因非譯名之權責機關，故並無統一的中譯名稱。,其他
22916,2010-01-01,22916_A01,「分置式目錄」是否等同於「分立式目錄」？,不知臺端所提之『分置式目錄』是否就是『分立式目錄』？若確是，僅就本人所知簡述如下,其他
22916,2010-01-01,22916_A02,什麼是「分立式目錄」？,傳統圖書館目錄常依款目之性質分為題名目錄（書名目錄）、著者目錄（作者目錄）、主題目錄（標題目錄）及分類目錄4種。其中，前3種基本上都是依字詞為準加以組織的，惟組織時有兩種方式：一為分立式目錄，另一為混合式目錄。前者係將題名目錄（書名目錄）、著者目錄（作者目錄）、主題目錄（標題目錄）三者分別加以組織，並分別設目錄屝以庋藏之；後者則將三種目錄混合編排，並依某一特定之檢字方式（例如筆畫、音序、號碼等）組織之，因其編排方式類似於一般字典，故又稱字典式目錄。,編目法
