faq_id,question_date,atomic_id,question,answer,l1_category,l2_category,source_l2_category_1,source_l2_category_2,source_l2_category_3,l3_category_1,l3_category_2,l3_count
22934,2013-04-23,22934_A01,餐旅管理類的書籍，內容包含旅館業和餐飲業之經營，應歸入哪一類？,一、餐旅管理類的書籍，若內容包含旅館業和餐飲業之經營，建議歸入483.8或489.2，視書的內容比重而定。 1. 書的內容以旅館業為主兼談旅館之餐飲管理入489.2旅行業 (旅館業)。 2. 書的內容明顯分餐飲業與旅館業兩大塊時： (1)看內容比重及作者意旨較偏向何者，歸入比重較重或作者寫作較偏向的一方。 (2)若兩部分的比重齊鼓相當時，歸入內容在前者。如書的章節內容先講旅館業的經營管理後講餐飲業的經營管理，則歸入489.2旅館業。 分類要熟記分類原則─ ─ 圖書內容涉及兩個以上主題時，原則上依內容所側重者分類(兩個主題屬並列關係得依篇幅多者或在前之主題分類。(中國圖書分類法 增訂七版 p. VI  圖書分類簡則；增訂八版 p.6),分類法,類號判定與選擇,類號判定與選擇,,,多主題與跨學科主類選擇,,1
22934,2013-04-23,22934_A02,992.61 觀光旅館 是要放哪些內容？,"二、992.61指旅館設施，如一本書介紹旅館有哪些設施，但並未談及如何經營或管理，可歸入此類。 例1：最值得體驗的18家極致旅館 : 越南法式旅館.印度皇宮旅館.京都老舖旅館 / 郭燕如, 王思佳主編 例2：100個旅店的享樂冒險 = Once-in-a-lifetime hotels / MOOK編輯室作 ※當我們編目遇到相似類名時，一定要看類名的「上一位」所屬的類，才不致偏離主題或造成困擾。489.2的上位是489 各種營業，489的上位是480，此類是有關工商業的經營與產品販售；992.61 觀光旅館的上位是992.6 觀光設施，兩者的區別應該是可以理解的。",分類法,類號判定與選擇,類號判定與選擇,,,類目意義與既有類號解讀,,1
23126,2010-01-01,23126_A01,當一筆書目資料出現人名標題（欄位600）、團體名稱標題（欄位610）或會議名稱標題（欄位611），是否以前述標題為依據，來標引杜威法或國會法之類號？,機讀編目有關主題標目欄位之編排順序，通常依主題內容性質區分為若干類型，並據之以編製為若干不同欄位。例如US MARC即分為人名標題（欄位600）、機關團體標題（欄位610）、會議名稱標題（欄位611）、主題標題（欄位650）、地名標題（欄位651）等類型（或欄位）；C MARC分為人名標題（欄位600）、機關團體標題（欄位610）、家族名稱標題（欄位602）、普通標題（欄位606）、地理標 titles（欄位607）等類型（或欄位）。,分類法,類號判定與選擇,類號判定與選擇,,,類目意義與既有類號解讀,,1
23126,2010-01-01,23126_A02,"若書目資料中同時出現欄位600, 606, 610；或欄位600, 606 , 611時, 請問要以何者作為類號標引的主要依據？",只有在一種情況下，即同一標題類型例如主題標題（欄位650）欄位重複紀錄時，才會選居前之標題，作為類號標引之依據。否則，必須以文獻實際內容主題作為類號標引之依據。,分類法,類號判定與選擇,類號判定與選擇,,,候選類號比較與適用範圍,,1
23127,2010-01-01,23127_A02,跨領域之研究所，例如科技法律研究所以及資訊方面研究所，其學校系所類號應歸入何類為宜？,有關跨領域之研究所，例如科技法律研究所，其學校系所歸類原則，與一般文獻之分類相同，可視圖書館編目政策，以及圖書館類型與宗旨、藏書特色、讀者知識結構等因素加以考量、選擇。例如圖書館本身若是科技圖書館自以分入‘科技法律’類（302.3）為宜，圖書館本身若是法律圖書館則可分入‘法律’類（580）為佳。至於資訊方面研究所，《中國圖書分類法》尚無明確的類目可資利用，權且與電腦科技組為一類：‘312.9 資訊及電腦’類，即可解決無類可歸之窘境。,分類法,類號判定與選擇,類號判定與選擇,,,多主題與跨學科主類選擇,,1
23128,2010-01-01,23128_A01,有關‘物業管理’之文獻，應分入《中文圖書分類法》（2007年版）何類目？,依據2003年行政院核定《服務業發展綱領及行動方案》，‘物業管理’之性質應為經濟學探討之對象，故建議分入《中文圖書分類法》‘554.89 房地產業’類較為合適。,分類法,類號判定與選擇,類號判定與選擇,,,單一主題類號判定,,1
23128,2010-01-01,23128_A02,有關‘物業管理法規’之文獻，應分入何類目？,為顧及法規宜採相對集中之原則，如將‘物業管理法規’分入土地法規類（554.1），或許更方便讀者參考利用。,分類法,類號判定與選擇,類號判定與選擇,,,單一主題類號判定,,1
23131,2010-01-01,23131_A02,該研究所研究生論文應如何標引類號？,以目前《中文圖書分類法》（2007年版）相關內容來看，並無適當之類目可資標引，不得已，建議可分入『469.5 生物技術工業』類（比較：『368 生物技術』類），惟不知是否妥適。,分類法,類號判定與選擇,類號判定與選擇,,,候選類號比較與適用範圍,,1
23132,2010-01-01,23132_A01,依據《中國圖書分類法》，《企業財經法律導引：企業經營必知的法律思維》乙書給予分類號587.19（社會科學類--法律--商法）是否可行？抑或一定入494.023（應用科學類--商學--企業管理）？,《企業財經法律導引》乙書如仍維持原類號（587.19），建議針對法律類通盤加以調整或修訂，俾使法律類子目及類名與法律實況相符。貴館如仍使用本類目，有兩點疑惑之處：其一、本類之買賣、交互計算、承攬、經理人、合夥等內容，幾與民法類相關子目相同，似應注意二者之關係。其二、本類之上位類「商人通例」（587.1），係已過時之舊法律，類名自不合時宜，似應加以改訂。,分類法,類號判定與選擇,類號判定與選擇,,,候選類號比較與適用範圍,,1
23134,2010-01-01,23134_A02,貴館將水生植物分入類號『435.481』、食蟲植物分入類號『435.489』，這些類號是如何產生的？,本館曾於2004年2月23日在增訂7版『435.48 其他花卉』類下新增子目如下：435.48 其他花卉 .481 水生植物 .482 仙人掌類及多漿植物 .483 觀葉植物 .484 蕨類植物 .489 其他,分類法,類號判定與選擇,類號判定與選擇,,,類目意義與既有類號解讀,,1
